datetime,open,high,low,close,volume,volume
2025-07-24 16:15:00+00:00,1057.56,1058.13,1043.05,1043.05,445,0
2025-07-24 16:30:00+00:00,1043.01,1043.44,1033.22,1033.54,444,0
2025-07-24 16:45:00+00:00,1033.86,1039.87,1033.27,1036.32,440,0
2025-07-24 17:00:00+00:00,1036.33,1041.21,1033.68,1038.07,441,0
2025-07-24 17:15:00+00:00,1037.68,1043.27,1032.22,1043.24,447,0
2025-07-24 17:30:00+00:00,1043.08,1048.37,1041.64,1047.93,444,0
2025-07-24 17:45:00+00:00,1048.09,1050.87,1045.22,1047.51,444,0
2025-07-24 18:00:00+00:00,1047.65,1049.52,1043.65,1048.78,444,0
2025-07-24 18:15:00+00:00,1048.68,1050.44,1043.82,1045.27,442,0
2025-07-24 18:30:00+00:00,1045.0,1054.97,1044.27,1051.47,443,0
2025-07-24 18:45:00+00:00,1051.18,1054.0,1049.41,1051.29,444,0
2025-07-24 19:00:00+00:00,1051.37,1056.94,1050.99,1056.82,446,0
2025-07-24 19:15:00+00:00,1056.83,1058.28,1051.21,1053.01,443,0
2025-07-24 19:30:00+00:00,1052.88,1053.83,1041.91,1044.39,443,0
2025-07-24 19:45:00+00:00,1044.76,1047.55,1039.22,1047.19,444,0
2025-07-24 20:00:00+00:00,1047.07,1048.19,1042.54,1044.9,439,0
2025-07-24 20:15:00+00:00,1044.5,1048.8,1042.51,1042.93,442,0
2025-07-24 20:30:00+00:00,1043.4,1043.84,1033.5,1036.86,445,0
2025-07-24 20:45:00+00:00,1036.55,1037.11,1029.36,1037.02,445,0
2025-07-24 21:00:00+00:00,1036.8,1036.8,1026.98,1029.34,440,0
2025-07-24 21:15:00+00:00,1029.16,1031.34,1026.7,1029.16,442,0
2025-07-24 21:30:00+00:00,1029.01,1032.35,1025.78,1027.1,443,0
2025-07-24 21:45:00+00:00,1027.51,1029.95,1010.31,1011.14,446,0
2025-07-24 22:00:00+00:00,1011.3,1011.93,1004.96,1006.44,442,0
2025-07-24 22:15:00+00:00,1006.15,1009.9,1004.03,1006.47,439,0
2025-07-24 22:30:00+00:00,1006.72,1013.35,1006.72,1012.0,448,0
2025-07-24 22:45:00+00:00,1012.58,1021.32,1010.2,1021.32,441,0
2025-07-24 23:00:00+00:00,1021.7,1025.3,1019.34,1023.31,442,0
2025-07-24 23:15:00+00:00,1023.39,1027.65,1019.9,1024.31,444,0
2025-07-24 23:30:00+00:00,1024.54,1032.87,1024.13,1028.22,440,0
2025-07-24 23:45:00+00:00,1028.13,1033.59,1027.59,1032.34,445,0
2025-07-25 00:00:00+00:00,1031.93,1035.84,1029.64,1029.64,445,0
2025-07-25 00:15:00+00:00,1029.93,1036.45,1026.25,1026.51,442,0
2025-07-25 00:30:00+00:00,1027.1,1027.82,1016.48,1017.72,448,0
2025-07-25 00:45:00+00:00,1017.61,1026.1,1014.66,1024.35,441,0
2025-07-25 01:00:00+00:00,1024.22,1028.09,1022.95,1025.14,446,0
2025-07-25 01:15:00+00:00,1025.01,1027.39,1020.97,1024.54,445,0
2025-07-25 01:30:00+00:00,1024.87,1030.57,1023.86,1028.88,446,0
2025-07-25 01:45:00+00:00,1028.82,1034.63,1024.76,1024.76,446,0
2025-07-25 02:00:00+00:00,1025.62,1034.72,1024.63,1034.63,443,0
2025-07-25 02:15:00+00:00,1034.28,1037.77,1032.98,1033.5,440,0
